Facility name,State of operation,Responsible emitter,Responsible emitter ABN/ACN,Baseline number,Type of baseline,Reported covered Emissions,ACCUs issued,ACCUs deemed surrender,ACCUs surrendered,Net emissions number,MYMP net emissions number, MYMP baseline number ,Excess emissions situation start date (if applicable),Excess emissions situation end date (if applicable),Notes
Moolarben Coal Mine (Open Cut & Underground),NSW,MOOLARBEN COAL OPERATIONS PTY LTD,59 077 939 569,"361,814",Calculated baseline,"164,989",0,0,0,"164,989",n/a,n/a, - , - , - 
Multinet Principal Distribution Network and South Gippsland Pipeline,NSW/VIC,MULTINET GAS (DB NO. 2) PTY LTD,57 086 230 122,"358,206",Reported baseline,"215,224",0,0,0,"215,224",n/a,n/a, - , - , - 
Parkhurst Magnesia Manufacturing Plant,QLD,QMAG PTY LIMITED,68 111 279 906,"357,739",Reported baseline,"240,525",0,0,0,"240,525",n/a,n/a, - , - , - 
Newmont Boddington Gold Operation,WA,NEWMONT BODDINGTON PTY LTD,32 062 936 547,"354,726",Production-adjusted baseline,"219,576",0,0,0,"219,576",n/a,n/a, - , - , - 
Solomon Power Station,WA,FMG SOLOMON PTY LTD,95 128 959 179,"345,831",Calculated baseline,"183,646",0,0,0,"183,646",n/a,n/a, - , - , - 
Ravensworth Operations,NSW,RAVENSWORTH OPERATIONS PTY LIMITED,12 098 937 761,"345,281",Calculated baseline,"324,204",0,0,0,"324,204",n/a,n/a, - , - , - 
Montara Operations,NT,JADESTONE ENERGY (EAGLE) PTY LTD,98 627 006 679,"332,536",Calculated baseline,"247,895",0,0,0,"247,895",n/a,n/a, - , - , - 
West Angelas Mine,WA,ROBE RIVER MINING CO. PTY. LTD.,71 008 694 246,"331,789",Calculated baseline,"287,475",0,0,0,"287,475",n/a,n/a, - , - , - 
Ravensthorpe Nickel Operation,WA,FQM AUSTRALIA NICKEL PTY LTD,92 135 761 465,"324,093",Calculated baseline,"175,361",0,0,0,"175,361",n/a,n/a, - , - , - 
South West Synthetic Rutile Operations,WA,ILUKA RESOURCES LIMITED,34 008 675 018,"323,579",Reported baseline,"212,351",0,0,0,"212,351",n/a,n/a, - , - , - 
Tropicana Gold Mine,WA,ANGLOGOLD ASHANTI AUSTRALIA LIMITED,42 008 737 424,"323,180",Calculated baseline,"294,418",0,0,0,"294,418",n/a,n/a, - , - , - 
Brockman 2 / Nammuldi Mines,WA,HAMERSLEY IRON PTY. LIMITED,49 004 558 276,"321,494",Calculated baseline,"301,307",0,0,0,"301,307",n/a,n/a, - , - , - 
Yarwun Nitrates,QLD,ORICA AUSTRALIA PTY LTD,99 004 117 828,"321,343",Calculated baseline,"289,722",0,0,0,"289,722",n/a,n/a, - , - , - 
Australian Gas Networks (Vic) Pty Ltd,VIC,AUSTRALIAN GAS NETWORKS LIMITED,19 078 551 685,"317,176",Reported baseline,"179,603",0,0,0,"179,603",n/a,n/a, - , - , - 
Kwinana Pigment Plant,WA,TRONOX MANAGEMENT PTY LTD,59 009 343 364,"308,615",Production-adjusted baseline,"301,915",0,0,0,"301,915",n/a,n/a, - , - , - 
Australian Gas Networks (SA) Ltd,SA,AUSTRALIAN GAS NETWORKS LIMITED,19 078 551 685,"300,947",Reported baseline,"116,466",0,0,0,"116,466",n/a,n/a, - , - , - 
Mt Owen Glendell Complex,NSW,MT OWEN PTY LIMITED,83 003 827 361,"286,172",Calculated baseline,"278,984",0,0,0,"278,984",n/a,n/a, - , - , - 
Foxleigh Mine,QLD,FOXLEIGH MANAGEMENT PTY LTD,27 089 726 492,"281,190",Calculated baseline,"181,815",0,0,0,"181,815",n/a,n/a, - , - , - 
Rail,WA,THE PILBARA INFRASTRUCTURE PTY LTD,52 103 096 340,"279,793",Production-adjusted baseline,"285,206",0,0,"11,776","273,430",n/a,n/a, - , - , - 
Queensland Nitrates Ammonium Nitrate Plant,QLD,QUEENSLAND NITRATES PTY LTD,63 079 889 268,"271,190",Calculated baseline,"170,277",0,0,0,"170,277",n/a,n/a, - , - , - 
Yandicoogina Mine,WA,HAMERSLEY IRON - YANDI PTY LIMITED,56 009 181 793,"269,097",Production-adjusted baseline,"158,406",0,0,0,"158,406",n/a,n/a, - , - , - 
Middlemount Coal Mine,QLD,MIDDLEMOUNT COAL PTY LTD,49 122 348 412,"268,480",Calculated baseline,"255,612",0,0,0,"255,612",n/a,n/a, - , - , - 
Rio Tinto Weipa,QLD,RTA WEIPA PTY LTD,54 137 266 285,"262,591",Production-adjusted baseline,"245,840",0,0,0,"245,840",n/a,n/a, - , - , - 
Jellinbah Mine,QLD,JELLINBAH MINING PTY LTD,63 052 251 000,"256,527",Calculated baseline,"253,099",0,0,0,"253,099",n/a,n/a, - , - , - 
New Illawarra Road Landfill,NSW,SUEZ RECYCLING & RECOVERY HOLDINGS PTY LIMITED,18 002 658 255,"253,528",Reported baseline,"127,540",0,0,0,"127,540",n/a,n/a, - , - , - 
DBNGP,WA,DBNGP (WA) TRANSMISSION PTY LIMITED,69 081 609 190,"246,362",Calculated baseline,"243,269",0,0,0,"243,269",n/a,n/a, - , - , - 
Gruyere Mine Site,WA,GRUYERE MINING COMPANY PTY LTD,11 615 729 005,"243,584",Calculated baseline,"181,509",0,0,0,"181,509",n/a,n/a, - , - , - 
Fimiston,WA,KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,97 009 377 619,"242,659",Calculated baseline,"155,548",0,0,0,"155,548",n/a,n/a, - , - , - 
Batchfire Resources No.1,QLD,BATCHFIRE RESOURCES PTY LTD,84 607 340 189,"241,186",Calculated baseline,"159,113",0,0,0,"159,113",n/a,n/a, - , - , - 
Moorvale Coal Mine,QLD,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,65 077 890 932,"239,233",Calculated baseline,"111,734",0,0,0,"111,734",n/a,n/a, - , - , - 
Mt Keith Power Station,WA,TEC DESERT PTY LTD,47 084 695 661,"233,797",Reported baseline,"189,293",0,0,0,"189,293",n/a,n/a, - , - , - 
Orora Glass Plant Gawler ,SA,ORORA LIMITED,55 004 275 165,"230,909",Production-adjusted baseline,"209,186","2,392",0,0,"211,578",n/a,n/a, - , - ,The facility's net emissions number for 2020-21 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
North Goonyella Coal Mine,QLD,PEABODY (BOWEN) PTY LTD,50 010 879 526,"225,651",Calculated baseline,"194,427",0,0,0,"194,427",n/a,n/a, - , - , - 
Aurizon Rail Freight WA,WA,AURIZON OPERATIONS LIMITED,47 564 947 264,"216,374",Reported baseline,"137,340",0,0,0,"137,340",n/a,n/a, - , - , - 
Newmont Tanami Operation,NT,NEWMONT TANAMI PTY LTD,39 007 688 093,"215,737",Calculated baseline,"187,685",0,0,0,"187,685",n/a,n/a, - , - , - 
Marandoo Mine,WA,HAMERSLEY IRON PTY. LIMITED,49 004 558 276,"214,614",Calculated baseline,"169,927",0,0,0,"169,927",n/a,n/a, - , - , - 
Wilpinjong Coal Mine,NSW,WILPINJONG COAL PTY LTD,87 104 594 694,"208,562",Calculated baseline,"141,409",0,0,0,"141,409",n/a,n/a, - , - , - 
Coppabella Coal Mine,QLD,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,65 077 890 932,"203,763",Calculated baseline,"171,567",0,0,0,"171,567",n/a,n/a, - , - , - 
Boggabri Coal Minesite,NSW,BOGGABRI COAL PTY LIMITED,77 122 087 398,"202,244",Calculated baseline,"184,492",0,0,0,"184,492",n/a,n/a, - , - , - 
Drake Mine,QLD,DRAKE MINE MANAGEMENT PTY LTD,30 612 261 453,"201,231",Calculated baseline,"183,171",0,0,0,"183,171",n/a,n/a, - , - , - 
Ballera,QLD,SANTOS LIMITED,80 007 550 923,"200,749",Calculated baseline,"176,097",0,0,0,"176,097",n/a,n/a, - , - , - 
Otway,VIC,BEACH ENERGY (OPERATIONS) LIMITED,66 007 845 338,"200,355",Calculated baseline,"129,055",0,0,0,"129,055",n/a,n/a, - , - , - 
GEM01,NT,GROOTE EYLANDT MINING COMPANY PROPRIETARY LIMITED,26 004 618 491,"195,344",Calculated baseline,"197,582",0,0,"2,238","195,344",n/a,n/a, - , - , - 
Yarrabee Coal Mine (Open Cut),QLD,YARRABEE COAL COMPANY PTY. LTD.,30 010 849 402,"190,339",Calculated baseline,"171,635",0,0,0,"171,635",n/a,n/a, - , - , - 
AusNet Gas Services Pty Ltd,VIC,AUSNET SERVICES HOLDINGS PTY LTD,97 086 006 859,"189,563",Reported baseline,"185,277",0,0,0,"185,277",n/a,n/a, - , - , - 
Tom Price Mine / WTS,WA,HAMERSLEY IRON PTY. LIMITED,49 004 558 276,"188,447",Calculated baseline,"220,784",0,0,"32,337","188,447",n/a,n/a, - , - , - 
Duketon South Operations,WA,REGIS RESOURCES LIMITED,28 009 174 761,"186,157",Calculated baseline,"178,940",0,0,0,"178,940",n/a,n/a, - , - , - 
Lang Lang,VIC,BEACH ENERGY (OPERATIONS) LIMITED,66 007 845 338,"185,553",Calculated baseline,"119,571",0,0,0,"119,571",n/a,n/a, - , - , - 
Norske Skog Boyer Mill,TAS,NORSKE SKOG PAPER MILLS (AUSTRALIA) LIMITED,84 009 477 132,"183,056",Calculated baseline,"160,293","24,458","24,458",0,"160,293",n/a,n/a, - , - ,The facility's net emissions number for 2020-21 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
McArthur River Power Station,NT,EDL NGD (NT) PTY LTD,28 065 496 577,"177,023",Production-adjusted baseline,"168,784",0,0,0,"168,784",n/a,n/a, - , - , - 
Liddell Coal Mine,NSW,LIDDELL COAL OPERATIONS PTY. LIMITED,40 058 857 882,"176,827",Calculated baseline,"168,540",0,0,0,"168,540",n/a,n/a, - , - , - 
NKW01 Nickel West Kwinana Facility,WA,BHP BILLITON NICKEL WEST PTY LTD,76 004 184 598,"176,382",Production-adjusted baseline,"170,612",0,0,0,"170,612",n/a,n/a, - , - , - 
South West Queensland Pipeline,QLD/SA,APA (SWQP) PTY LIMITED,67 066 656 219,"176,381",Calculated baseline,"129,592",0,0,0,"129,592",n/a,n/a, - , - , - 
Koolyanobbing Iron Ore Operations,WA,YILGARN IRON PTY LTD,16 626 035 078,"176,116",Calculated baseline,"137,803",0,0,0,"137,803",n/a,n/a, - , - , - 
Ravensworth Underground Coal Mine,NSW,RESOURCE PACIFIC PTY LIMITED,65 106 177 708,"173,779",Calculated baseline,"155,993",0,0,0,"155,993",n/a,n/a, - , - , - 
Leinster Power Station,WA,TEC DESERT PTY LTD,47 084 695 661,"173,336",Reported baseline,"151,147",0,0,0,"151,147",n/a,n/a, - , - , - 
Jundee Gold Mine,WA,NORTHERN STAR RESOURCES LTD,43 092 832 892,"173,116",Calculated baseline,"127,944",0,0,0,"127,944",n/a,n/a, - , - , - 
Sunrise Dam,WA,ANGLOGOLD ASHANTI AUSTRALIA LIMITED,42 008 737 424,"171,958",Calculated baseline,"163,853",0,0,0,"163,853",n/a,n/a, - , - , - 
NKS01 Nickel West Kalgoorlie Facility,WA,BHP BILLITON NICKEL WEST PTY LTD,76 004 184 598,"166,573",Reported baseline,"157,960",0,0,0,"157,960",n/a,n/a, - , - , - 
Aurizon Rail Freight NSW,NSW,AURIZON OPERATIONS LIMITED,47 564 947 264,"166,082",Production-adjusted baseline,"122,234",0,0,0,"122,234",n/a,n/a, - , - , - 
Rolleston Coal Mine,QLD,ROLLESTON COAL HOLDINGS PTY LIMITED,69 098 156 702,"163,725",Calculated baseline,"143,655",0,0,0,"143,655",n/a,n/a, - , - , - 
Ranger Mine,NT,ENERGY RESOURCES OF AUSTRALIA LTD.,71 008 550 865,"158,654",Calculated baseline,"107,382",0,0,0,"107,382",n/a,n/a, - , - , - 
NMK01 Nickel West Mt Keith Facility,WA,BHP BILLITON NICKEL WEST PTY LTD,76 004 184 598,"152,368",Reported baseline,"123,040",0,0,0,"123,040",n/a,n/a, - , - , - 
Hope Downs 1 Mine,WA,HAMERSLEY HMS PTY LTD,51 115 004 129,"152,296",Calculated baseline,"155,883",0,0,"3,587","152,296",n/a,n/a, - , - , - 
Sewerage West,VIC,MELBOURNE WATER CORPORATION,81 945 386 953,"151,472",Reported baseline,"146,326",0,0,0,"146,326",n/a,n/a, - , - , - 
Rio Tinto Marine - Qld,QLD,RIO TINTO SHIPPING (ASIA) PTE LTD,71 242 047 864,"144,297",Calculated baseline,"108,109",0,0,0,"108,109",n/a,n/a, - , - , - 
Collinsville Mine,QLD,NC COAL COMPANY PTY LIMITED,71 079 862 936,"144,171",Calculated baseline,"112,115",0,0,0,"112,115",n/a,n/a, - , - , - 
CAN01,QLD,SOUTH32 CANNINGTON PROPRIETARY LIMITED,48 125 530 967,"143,326",Reported baseline,"124,037",0,0,0,"124,037",n/a,n/a, - , - , - 
Port Bonython Plant,SA,SANTOS LIMITED,80 007 550 923,"142,034",Calculated baseline,"120,592",0,0,0,"120,592",n/a,n/a, - , - , - 
V/Line,VIC,V/LINE CORPORATION,91 273 289 190,"140,686",Calculated baseline,"120,324",0,0,0,"120,324",n/a,n/a, - , - , - 
Gove Operations,NT,RTA GOVE PTY LIMITED,76 000 453 663,"131,943",Production-adjusted baseline,"113,073","123,118","99,225","5,023","131,943",n/a,n/a, - , - ,The facility's net emissions number for 2020-21 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
Western Port Works,VIC,BLUESCOPE STEEL LIMITED,16 000 011 058,"131,238",Production-adjusted baseline,"111,141",0,0,0,"111,141",n/a,n/a, - , - , - 
Granny Smith Mine Site,WA,GSM MINING COMPANY PTY LTD,42 165 235 030,"126,385",Calculated baseline,"118,138","17,619","11,569",0,"124,188",n/a,n/a, - , - ,The facility's net emissions number for 2020-21 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
McArthur River Mine Operations,NT,MCARTHUR RIVER MINING PTY. LTD.,90 008 167 815,"126,141",Calculated baseline,"114,423",0,0,0,"114,423",n/a,n/a, - , - , - 
Dandenong,VIC,OCEANIA GLASS PTY LTD,99 630 152 206,"123,348",Production-adjusted baseline,"111,372",0,0,0,"111,372",n/a,n/a, - , - , - 
Daandine Operations,QLD,ARROW (DAANDINE) PTY. LTD.,99 114 927 481,"122,650",Calculated baseline,"116,417",0,0,0,"116,417",n/a,n/a, - , - , - 
SIMEC Mining - Middleback Range Iron Ore Mine (Whyalla),SA,ONESTEEL MANUFACTURING PTY LIMITED,42 004 651 325,"121,547",Reported baseline,"101,894",0,0,0,"101,894",n/a,n/a, - , - , - 
Paraburdoo Mine,WA,HAMERSLEY IRON PTY. LIMITED,49 004 558 276,"120,836",Calculated baseline,"133,434",0,0,"12,598","120,836",n/a,n/a, - , - , - 
Huntly Mine,WA,ALCOA OF AUSTRALIA LIMITED,93 004 879 298,"109,357",Calculated baseline,"100,475",0,0,0,"100,475",n/a,n/a, - , - , - 
Carosue Dam,WA,NORTHERN STAR (CAROSUE DAM) PTY LTD,14 116 649 122,"108,460",Calculated baseline,"108,388",0,0,0,"108,388",n/a,n/a, - , - , - 
Hope Downs 4 Mine,WA,HAMERSLEY HMS PTY LTD,51 115 004 129,"106,522",Calculated baseline,"105,625",0,0,0,"105,625",n/a,n/a, - , - , - 
