Facility name,Responsible emitter,State/Territory of operation,ANZSIC,ERC,Baseline emissions number,Covered emissions,Borrowing adjustment amount,ACCUs issued,ACCUs deemed surrendered,ACCUs surrendered,SMCs surrendered,Net emissions number,Net position number,SMCs issued,Units relinquished,Cumulative MYMP net emissions number,Cumulative MYMP net position number,GHG Carbon dioxide,GHG Methane,GHG Nitrous oxide,GHG Other,Notes
Montara Operations,JADESTONE ENERGY (EAGLE) PTY LTD,NT,Oil and gas extraction (070),0.951,"132,001","163,472",0,0,0,"31,471",0,"132,001",0,0,0,-,-,"139,791","23,013",666,2,-
Moolarben Coal Mine (Open Cut & Underground),MOOLARBEN COAL OPERATIONS PTY LTD,NSW,Coal mining (060),0.951,"238,272","233,810",0,0,0,0,0,"233,810","-4,462","4,609",147,-,-,"212,274","21,008",524,4,"The responsible emitter was required to relinquish units, which they did via relinquishing 147 SMCs."
Moomba Plant,Santos Limited,SA,Oil and gas extraction (070),0.951,"2,048,421","2,196,816",0,"2,579",0,"150,974",0,"2,048,421",0,0,0,-,-,"1,988,493","207,946",373,4,-
Moorvale Coal Mine,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,QLD,Coal mining (060),0.951,"221,575","194,654",0,0,0,0,0,"194,654","-26,921","26,921",0,-,-,"80,725","113,697",231,1,-
Moranbah,Incitec Pivot Limited,QLD,Other basic chemical product manufacturing (189),0.951,"523,641","460,112",0,0,0,0,0,"460,112","-63,529","63,529",0,-,-,"349,030",326,"110,754",2,-
Moranbah North Mine,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,QLD,Coal mining (060),0.951,"1,300,300","1,483,999",0,0,0,0,"183,699","1,300,300",0,0,0,-,-,"256,891","1,225,762","1,322",24,-
Mount Isa Mines Copper and Zinc Operations,MOUNT ISA MINES LIMITED,QLD,Metal ore mining (080),0.951,"328,070","409,936",0,0,0,"81,866",0,"328,070",0,0,0,-,-,"408,766",344,707,119,-
Mount Pleasant Operations,MACH Energy Australia Pty Ltd,NSW,Coal mining (060),0.951,"199,238","196,934",0,0,0,0,0,"196,934","-2,304","2,304",0,-,-,"133,486","63,096",352,0,-
Mt Keith Power Station,TEC DESERT PTY LTD,WA,Electricity generation (261),0.951,"160,670","160,073",0,0,0,0,0,"160,073",-597,0,0,"511,101","-10,587","159,530",313,108,122,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Mt Marion Lithium Project,MT MARION LITHIUM PTY LTD,WA,Metal ore mining (080),0.951,"100,000","114,220",0,0,0,"14,220",0,"100,000",0,0,0,-,-,"113,732",165,310,13,-
Mt Owen Glendell Complex,MT OWEN PTY LIMITED,NSW,Coal mining (060),0.951,"206,337","265,669",0,0,0,"59,332",0,"206,337",0,0,0,-,-,"187,837","77,297",531,4,-
Multinet Principal Distribution Network and South Gippsland Pipeline,MULTINET GAS (DB NO. 2) PTY LTD,VIC,Gas supply (270),0.951,"165,214","169,759",0,0,0,0,"4,545","165,214",0,0,0,-,-,"4,405","165,353",1,0,-
Murrin Murrin Operations,MURRIN MURRIN OPERATIONS PTY LTD,WA,Metal ore mining (080),0.951,"478,181","523,774",0,0,0,0,"45,593","478,181",0,0,0,-,-,"522,748",632,394,0,-
Myuna Colliery,CENTENNIAL MYUNA PTY LIMITED,NSW,Coal mining (060),0.951,"346,793","191,750",0,0,0,0,0,"191,750","-155,043","155,043",0,-,-,"8,264","183,478",4,4,-
Narrabri Underground Mine,Narrabri Coal Operations Pty Ltd,NSW,Coal mining (060),0.951,"383,633","555,048",0,0,0,"171,415",0,"383,633",0,0,0,-,-,"199,690","355,312",30,16,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Newman Operations,BHP IRON ORE PTY LTD,WA,Metal ore mining (080),0.951,"304,376","316,238",0,0,0,"11,862",0,"304,376",0,0,0,-,-,"314,656",450,968,164,-
Newman Power Station,APA TRANSMISSION (ROY HILL) PTY LTD,WA,Electricity generation (261),0.951,"544,310","376,230",0,"53,575",0,0,0,"429,805","-114,505","114,505",0,-,-,"375,263",744,223,0,-
Newmont Boddington Gold Operation,Newmont Boddington Pty Ltd,WA,Metal ore mining (080),0.951,"183,027","238,348",0,0,0,"55,321",0,"183,027",0,0,0,-,-,"237,186",337,688,137,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Newmont Tanami Operation,Newmont Tanami Pty Ltd,NT,Metal ore mining (080),0.951,"190,869","200,358",0,0,0,"9,489",0,"190,869",0,0,0,-,-,"199,704",358,259,37,-
Ningaloo Vision FPSO,Santos Limited,WA,Oil and gas extraction (070),0.951,"277,840","226,731",0,0,0,0,0,"226,731","-51,109","51,109",0,-,-,"214,200","12,131",400,0,-
NKS01 Nickel West Kalgoorlie Facility,BHP NICKEL WEST PTY LTD,WA,Basic non-ferrous metal manufacturing (213),0.951,"123,249","105,583",0,0,0,0,0,"105,583","-17,666","17,666",0,-,-,"105,512",51,20,0,-
NKW01 Nickel West Kwinana Facility,BHP NICKEL WEST PTY LTD,WA,Basic non-ferrous metal manufacturing (213),0.951,"122,189","169,074",0,0,0,"62,720","17,666","88,688","-33,501",0,0,"417,031",0,"168,635",324,115,0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
NMK01 Nickel West Mt Keith Facility,BHP NICKEL WEST PTY LTD,WA,Metal ore mining (080),0.951,"100,000","200,895",0,0,0,"100,895",0,"100,000",0,0,0,-,-,"200,012",286,589,8,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Norske Skog Boyer Mill,Norske Skog Paper Mills (Australia) Limited,TAS,"Pulp, paper and paperboard manufacturing (151)",0.990,"166,962","171,146",0,"20,320","20,320","4,184",0,"166,962",0,0,0,-,-,"170,690",80,376,0,-
North West Shelf Project,Woodside Energy Ltd.,WA,Oil and gas extraction (070),0.951,"5,489,531","6,097,509",0,0,0,"607,982",0,"5,489,527",-4,0,0,-,-,"5,962,350","130,429","4,730",0,-
Norwich Park Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.951,"100,000","16,978",0,0,0,0,0,"16,978","-83,022",0,0,-,-,"15,372","1,551",45,10,The facility is an eligible facility under 58B.
Nowra Plant,Shoalhaven Starches Pty Ltd,NSW,Grain mill and cereal product manufacturing (116),0.951,"448,436","395,916",0,0,0,0,0,"395,916","-52,520","52,520",0,-,-,"392,702","2,688",526,0,-
Nyrstar Port Pirie Facility,Nyrstar Port Pirie Pty Ltd,SA,Basic non-ferrous metal manufacturing (213),0.990,"441,897","441,897","10,092",0,0,0,0,"441,897",0,0,0,-,-,"440,844",238,807,8,-
Oaky Creek Coal Complex,OAKY CREEK HOLDINGS PTY LIMITED,QLD,Coal mining (060),0.951,"759,605","845,959",0,0,0,"86,354",0,"759,605",0,0,0,-,-,"213,076","632,118",756,9,-
ODS01 Olympic Dam – UOD Facility,BHP OLYMPIC DAM CORPORATION PTY LTD,SA,Metal ore mining (080),0.951,"246,875","244,321",0,0,0,0,0,"244,321","-2,554","2,554",0,-,-,"243,270",336,598,117,-
Olive Downs Complex,PEMBROKE RESOURCES NOMINEE PTY LTD,QLD,Coal mining (060),0.951,"100,000","155,917",0,0,0,"55,917",0,"100,000",0,0,0,-,-,"102,189","53,414",314,0,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Opal Australian Paper Maryvale Mill,PAPER AUSTRALIA PTY LTD,VIC,"Pulp, paper and paperboard manufacturing (151)",0.990,"242,779","235,738",0,0,0,0,0,"235,738","-7,041","7,041",0,-,-,"231,188","2,432","2,118",0,-
Orora Glass Plant Gawler,Orora Limited,SA,Glass and glass product manufacturing (201),0.951,"185,948","189,646",0,0,0,"3,698",0,"185,948",0,0,0,-,-,"189,260",294,91,1,-
Otway,BEACH ENERGY LIMITED,VIC,Oil and gas extraction (070),0.951,"127,568","157,371",0,0,0,"22,868","6,935","127,568",0,0,0,-,-,"149,981","7,217",173,0,-
Pacific National National Transport Facility,PACIFIC NATIONAL PTY LTD,National,Rail freight transport (471),0.951,"711,831","770,634",0,"7,254","7,254","172,749",0,"597,885","-113,946",0,0,"2,282,759",0,"765,196","1,091","4,347",0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Paraburdoo Mine,Hamersley Iron Pty. Limited,WA,Metal ore mining (080),0.951,"100,000","163,892",0,0,0,"63,892",0,"100,000",0,0,0,-,-,"163,170",232,490,0,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Parkhurst Magnesia Manufacturing Plant,QMAG PTY LIMITED,QLD,Other non-metallic mineral product manufacturing (209),0.990,"241,996","242,801",0,0,0,805,0,"241,996",0,0,0,-,-,"242,633",127,40,1,-
Peak Downs Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.951,"371,336","434,812",0,0,0,"63,476",0,"371,336",0,0,0,-,-,"418,160","15,450","1,192",10,-
Phosphate Hill,Incitec Pivot Limited,QLD,Fertiliser and pesticide manufacturing (183),0.990,"397,847","423,015",0,0,0,0,"25,168","397,847",0,0,0,-,-,"422,296",533,179,7,-
Pilbara Rail Operations,PILBARA IRON PTY LTD,WA,Rail freight transport (471),0.951,"611,803","656,025",0,0,0,"44,222",0,"611,803",0,0,0,-,-,"651,370",931,"3,724",0,-
Pilgangoora Operations,Pilbara Minerals Limited,WA,Metal ore mining (080),0.951,"168,656","180,291",0,0,0,"11,635",0,"168,656",0,0,0,-,-,"179,514",254,523,0,-
Pinjarra Alumina Refinery,Alcoa of Australia Limited,WA,Basic non-ferrous metal manufacturing (213),0.951,"1,417,325","1,347,202",0,0,0,0,0,"1,347,202","-70,123","70,123",0,-,-,"1,343,695","2,666",823,18,-
Pluto LNG,Woodside Burrup Pty. Ltd.,WA,Oil and gas extraction (070),0.951,"1,918,373","1,845,003",0,0,0,0,0,"1,845,003","-73,370","73,370",0,-,-,"1,799,970","42,623","2,410",0,-
Poitrel Mine,STANMORE RESOURCES LIMITED,QLD,Coal mining (060),0.951,"215,485","298,489",0,0,0,"83,004",0,"215,485",0,0,0,-,-,"201,442","96,493",554,0,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Port Bonython Plant,Santos Limited,SA,Oil and gas extraction (070),0.951,"100,000","82,939",0,0,0,0,0,"82,939","-17,061",0,0,-,-,"80,005","2,829",105,0,The facility is an eligible facility under 58B.
Port Kembla Steelworks,BLUESCOPE STEEL (AIS) PTY. LTD.,NSW,Basic ferrous metal manufacturing (211),0.990,"6,176,914","5,946,306",0,0,0,0,0,"5,946,306","-230,608","232,088","1,480",-,-,"5,945,869",181,188,68,"The responsible emitter was required to relinquish units, which they did via relinquishing 1,480 SMCs."
Port Latta Pelletising Plant,GRANGE RESOURCES (TASMANIA) PTY LTD,TAS,Basic ferrous product manufacturing (212),0.951,"120,185","112,666",0,0,0,0,0,"112,666","-7,519","7,519",0,-,-,"112,379",199,88,0,-
Portland Aluminium Smelter,Alcoa Portland Aluminium Proprietary Limited,VIC,Basic non-ferrous metal manufacturing (213),0.951,"549,273","620,768",0,0,0,"71,495",0,"549,273",0,0,0,-,-,"508,882",64,29,"111,793",-
Premier Coal Mine (Open Cut),Premier Coal Pty Ltd,WA,Coal mining (060),0.951,"100,000","110,312",0,0,0,"10,312",0,"100,000",0,0,0,-,-,"109,841",156,312,3,Please refer to the excess emissions situation table for more information.
PRL03 Rail - IOR Facility,BHP IRON ORE PTY LTD,WA,Rail freight transport (471),0.951,"526,254","559,502",0,0,0,"33,248",0,"526,254",0,0,0,-,-,"557,091",797,"1,614",0,-
Qantas Airways Limited National Transport Facility,Qantas Airways Limited,National,Air and space transport (490),0.951,"4,472,910","4,528,002",0,0,0,"55,092",0,"4,472,910",0,0,0,-,-,"4,486,008",673,"39,950","1,371",-
Qenos Altona Manufacturing,QENOS PTY LTD,VIC,Basic chemical manufacturing (181),0.951,"211,616","225,217",0,0,0,0,"13,601","211,616",0,0,0,-,-,"224,846",284,86,1,-
QGC Upstream,QGC PTY LIMITED,QLD,Oil and gas extraction (070),0.951,"915,545","868,117",0,0,0,0,0,"868,117","-47,428","47,428",0,-,-,"650,699","216,637",631,150,-
Queensland Alumina Limited Refinery,QUEENSLAND ALUMINA LIMITED,QLD,Basic non-ferrous metal manufacturing (213),0.990,"2,770,213","3,094,142",0,0,0,"323,929",0,"2,770,213",0,0,0,-,-,"3,086,354","2,308","5,480",0,-
Queensland Curtis LNG Plant,QCLNG Operating Company Pty Ltd,QLD,Oil and gas extraction (070),0.951,"1,866,331","1,938,855",0,0,0,"72,524",0,"1,866,331",0,0,0,-,-,"1,917,040","20,461","1,354",0,Please refer to the excess emissions situation table for more information.
Queensland Nitrates Ammonium Nitrate Plant,Queensland Nitrates Pty Ltd,QLD,Basic chemical manufacturing (181),0.951,"158,556","156,174",0,0,0,0,0,"156,174","-2,382","2,382",0,-,-,"147,379",209,"8,586",0,-
Rail,THE PILBARA INFRASTRUCTURE PTY LTD,WA,Rail freight transport (471),0.951,"241,706","254,871",0,0,0,"4,002","9,163","241,706",0,0,0,-,-,"253,085",362,"1,424",0,-
Railton,CEMENT AUSTRALIA (GOLIATH) PTY LIMITED,TAS,"Cement, lime, plaster and concrete product manufacturing (203)",0.951,"983,714","984,395",0,0,0,0,681,"983,714",0,0,0,-,-,"983,462",158,775,0,-
Ranger Mine,ENERGY RESOURCES OF AUSTRALIA LTD.,NT,Metal ore mining (080),0.951,"100,000","63,430",0,0,0,0,0,"63,430","-36,570",0,0,-,-,"63,158",90,182,0,The facility is an eligible facility under 58B.
Ravensthorpe Nickel Operation,FQM Australia Nickel Pty Ltd,WA,Metal ore mining (080),0.951,"147,510","171,706",0,0,0,"24,196",0,"147,510",0,0,0,-,-,"171,263",134,292,17,-
Ravenswood Mine,RAVENSWOOD GOLD PTY LTD,QLD,Metal ore mining (080),0.951,"269,728","137,227",0,0,0,0,0,"137,227","-132,501","132,501",0,-,-,"136,624",195,397,11,-
Ravensworth Operations,RAVENSWORTH OPERATIONS PTY LIMITED,NSW,Coal mining (060),0.951,"287,954","326,604",0,0,0,"38,650",0,"287,954",0,0,0,-,-,"238,060","87,869",672,3,-
Refinery Qld Lytton,Ampol Limited,QLD,Petroleum and coal product manufacturing (170),0.951,"659,208","716,979",0,0,0,"57,771",0,"659,208",0,0,0,-,-,"707,828","7,895","1,246",10,-
Rio Tinto Weipa,RTA WEIPA PTY LTD,QLD,Metal ore mining (080),0.951,"256,438","270,463",0,0,0,"14,025",0,"256,438",0,0,0,-,-,"269,229",385,809,40,-
Rio Tinto Yarwun,RTA Yarwun Pty Ltd,QLD,Basic non-ferrous metal manufacturing (213),0.990,"1,943,147","2,114,101",0,0,0,"170,954",0,"1,943,147",0,0,0,-,-,"2,108,611","2,675","2,794",21,-
Rolleston Coal Mine,ROLLESTON COAL HOLDINGS PTY LIMITED,QLD,Coal mining (060),0.951,"164,679","173,698",0,0,0,"9,019",0,"164,679",0,0,0,-,-,"172,936",242,487,33,-
Roma Hub,Santos Limited,QLD,Oil and gas extraction (070),0.951,"150,920","129,375",0,0,0,0,0,"129,375","-21,545","21,545",0,-,-,"90,388","37,963",238,786,-
Roy Hill Mine,Roy Hill Holdings Pty Ltd,WA,Metal ore mining (080),0.951,"470,949","516,539",0,0,0,"45,590",0,"470,949",0,0,0,-,-,"514,168",722,"1,517",132,-
Russell Vale Colliery,WOLLONGONG RESOURCES PTY. LTD.,NSW,Coal mining (060),0.951,"110,000","335,908","10,000",0,0,"225,908",0,"110,000",0,0,0,-,-,"15,981","319,924",2,1,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Saraji Mine,BM Alliance Coal Operations Pty Limited,QLD,Coal mining (060),0.951,"311,441","353,611",0,0,0,"42,170",0,"311,441",0,0,0,-,-,"324,806","27,833",932,40,-
Savage River Mine,GRANGE RESOURCES (TASMANIA) PTY LTD,TAS,Metal ore mining (080),0.951,"100,000","119,158",0,0,0,0,0,"119,158","19,158",0,0,"119,158","19,158","118,651",169,338,0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Sewerage West,Melbourne Water Corporation,VIC,"Water supply, sewerage and drainage services (281)",0.951,"134,661","143,515",0,0,0,"8,854",0,"134,661",0,0,0,-,-,28,"119,843","23,635",9,-
SIMEC Mining - Middleback Range Iron Ore Mine (Whyalla),ONESTEEL MANUFACTURING PTY LIMITED,SA,Metal ore mining (080),0.951,"100,000","127,129",0,0,0,0,0,"127,129","27,129",0,0,-,-,"126,570",176,373,10,Please refer to the excess emissions situation table for more information.
Sino Iron Project – Cape Preston,CITIC Pacific Mining Management Pty Ltd,WA,Metal ore mining (080),0.951,"1,091,911","1,111,621",0,0,0,"19,710",0,"1,091,911",0,0,0,-,-,"1,107,429","2,029","1,229",934,-
Sojitz Gregory Crinum Mine,SOJITZ DEVELOPMENT PTY LTD,QLD,Coal mining (060),0.951,"102,951","65,978",0,0,0,"5,682",0,"60,296","-42,655",0,0,"302,951",0,"65,262",521,195,0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
Solomon Mine,FMG SOLOMON PTY LTD,WA,Metal ore mining (080),0.951,"390,033","452,137",0,0,0,"42,926","19,178","390,033",0,0,0,-,-,"449,989",641,"1,350",157,-
Solomon Power Station,FMG SOLOMON PTY LTD,WA,Electricity generation (261),0.951,"366,608","316,859",0,0,0,0,0,"316,859","-49,749","49,749",0,-,-,"316,015",610,183,51,-
South Walker Creek,STANMORE RESOURCES LIMITED,QLD,Coal mining (060),0.951,"382,706","474,299",0,0,0,"36,538","132,501","305,260","-77,446",0,0,"1,009,498",0,"216,710","256,953",623,13,Please refer to the Multi-year monitoring period reported emissions data table for more information.
South West Queensland Pipeline,APA (SWQP) PTY LIMITED,QLD; SA,Pipeline and other transport (502),0.951,"130,235","127,602",0,0,0,0,0,"127,602","-2,633","2,633",0,-,-,"105,596","21,943",63,0,-
South West Synthetic Rutile Operations,Iluka Resources Limited,WA,Metal ore mining (080),0.951,"198,049","216,480",0,0,0,"18,431",0,"198,049",0,0,0,-,-,"216,440",25,9,6,-
Spring Gully Reedy Creek Combabula,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,QLD,Oil and gas extraction (070),0.951,"386,244","310,794",0,0,0,0,0,"310,794","-75,450","81,761","6,311",-,-,"195,691","114,630",275,198,"The responsible emitter was required to relinquish units, which they did via relinquishing 6,311 SMCs."
Start up and Operations of the Ichthys LNG Project,INPEX Operations Australia Pty Ltd,NT,Oil and gas extraction (070),0.951,"7,467,861","6,698,961",0,0,0,0,0,"6,698,961","-768,900","768,900",0,-,-,"6,540,381","151,418","4,812","2,350",-
Sunrise Dam,AngloGold Ashanti Australia Limited,WA,Metal ore mining (080),0.951,"146,998","165,796",0,0,0,"18,798",0,"146,998",0,0,0,-,-,"165,261",301,217,17,-
TAHMOOR COAL MINE,TAHMOOR COAL PTY LTD,NSW,Coal mining (060),0.951,"1,354,765","1,084,992",0,0,0,0,0,"1,084,992","-269,773","269,773",0,-,-,"207,841","876,899",247,5,-
Telfer Gold Mine,Newcrest Mining Limited,WA,Metal ore mining (080),0.951,"291,043","353,943",0,0,0,"62,900",0,"291,043",0,0,0,-,-,"352,809",621,490,23,-
Thunderbox Operations,NORTHERN STAR (THUNDERBOX) PTY LTD,WA,Metal ore mining (080),0.951,"170,892","174,100",0,0,0,"3,208",0,"170,892",0,0,0,-,-,"173,507",294,297,2,-
Tom Price Mine / WTS,Hamersley Iron Pty. Limited,WA,Metal ore mining (080),0.951,"161,334","183,325",0,0,0,"21,991",0,"161,334",0,0,0,-,-,"182,516",261,548,0,-
Tomago Aluminium Smelter,TOMAGO ALUMINIUM COMPANY PTY LTD,NSW,Basic non-ferrous metal manufacturing (213),0.951,"1,102,992","1,159,663",0,0,0,"56,671",0,"1,102,992",0,0,0,-,-,"1,018,685",166,66,"140,746",-
Tropicana Gold Mine,AngloGold Ashanti Australia Limited,WA,Metal ore mining (080),0.951,"290,437","306,196",0,0,0,"15,759",0,"290,437",0,0,0,-,-,"305,132",504,553,7,-
TT-Line - Victorian Operation,TT-Line Company Pty. Ltd.,VIC,Water passenger transport (482),0.951,"125,468","165,384",0,"19,657","14,395","45,178",0,"125,468",0,0,0,-,-,"164,258",233,893,0,"As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
United Coal Mine,UNITED COLLIERIES PTY LTD,NSW,Coal mining (060),0.951,"190,293","433,266",0,0,0,"52,973","190,000","190,293",0,0,0,-,-,"207,107","225,590",569,0,-
V/Line,V/Line Corporation,VIC,Rail passenger transport (472),0.951,"159,585","138,625",0,0,0,0,0,"138,625","-20,960","20,960",0,-,-,"137,643",190,792,0,-
Varanus Hub,Santos Limited,WA,Oil and gas extraction (070),0.951,"237,234","281,036",0,0,0,"43,802",0,"237,234",0,0,0,-,-,"250,136","30,406",494,0,-
Vincent Project Venture,Woodside Energy Ltd.,WA,Oil and gas extraction (070),0.951,"263,351","280,795",0,0,0,"17,445",0,"263,350",-1,0,0,-,-,"257,844","22,396",555,0,-
Virgin Australia Holdings National Transport Facility,VIRGIN AUSTRALIA HOLDINGS LIMITED,National,Air and space transport (490),0.951,"2,170,511","2,103,081",0,0,0,0,0,"2,103,081","-67,430","67,430",0,-,-,"2,084,817",302,"17,962",0,-
Wagerup Alumina Refinery,Alcoa of Australia Limited,WA,Basic non-ferrous metal manufacturing (213),0.951,"1,280,185","1,343,954",0,0,0,"37,271","26,498","1,280,185",0,0,0,-,-,"1,340,460","2,655",823,16,-
Wambo Coal Mine,WAMBO COAL PTY LIMITED,NSW,Coal mining (060),0.951,"244,508","162,094",0,0,0,0,0,"162,094","-82,414","82,414",0,-,-,"25,208","136,852",28,6,-
Warkworth Mine,Warkworth Mining Ltd,NSW,Coal mining (060),0.951,"795,576","966,843",0,0,0,"171,267",0,"795,576",0,0,0,-,-,"353,927","611,940",967,9,-
West Angelas Mine,Robe River Mining Co. Pty. Ltd.,WA,Metal ore mining (080),0.951,"208,498","265,099",0,0,0,"56,601",0,"208,498",0,0,0,-,-,"263,959",377,763,0,-
Western Australia,Alliance Aviation Services Limited,WA,Air and space transport (490),0.951,"100,000","110,489",0,0,0,"10,489",0,"100,000",0,0,0,-,-,"109,530",16,943,0,-
Western Port Works,BlueScope Steel Limited,VIC,Basic ferrous metal manufacturing (211),0.951,"100,000","107,642",0,0,0,0,"7,642","100,000",0,0,0,-,-,"107,342",193,91,16,-
Wheatstone Operations,CHEVRON AUSTRALIA PTY LTD,WA,Oil and gas extraction (070),0.951,"4,299,587","4,065,836",0,0,0,0,0,"4,065,836","-233,751","233,751",0,-,-,"3,772,123","287,191","5,977",545,-
Wilpinjong Coal Mine,WILPINJONG COAL PTY LTD,NSW,Coal mining (060),0.951,"148,354","162,960",0,0,0,"14,606",0,"148,354",0,0,0,-,-,"159,714","2,838",403,5,-
Wodgina Operations,MARBL Lithium Operations Pty Ltd,WA,Metal ore mining (080),0.951,"150,054","166,859",0,0,0,"16,805",0,"150,054",0,0,0,-,-,"166,274",275,303,7,-
WOR01,South32 Worsley Alumina Pty Ltd,WA,Basic non-ferrous metal manufacturing (213),0.951,"3,295,004","3,177,815",0,0,0,0,0,"3,177,815","-117,189","117,189",0,-,-,"3,168,745","3,364","5,381",325,-
YAN01 Yandi/Marillana Creek Mine - MNG Facility,BHP IRON ORE PTY LTD,WA,Metal ore mining (080),0.951,"100,000","107,160",0,0,0,"7,160",0,"100,000",0,0,0,-,-,"106,625",152,333,50,-
Yandicoogina Mine,Hamersley Iron - Yandi Pty Limited,WA,Metal ore mining (080),0.951,"141,890","151,438",0,0,0,"9,548",0,"141,890",0,0,0,-,-,"150,786",215,437,0,-
Yarnima Power Station,BHP IRON ORE PTY LTD,WA,Electricity generation (261),0.951,"328,998","347,643",0,0,0,"18,645",0,"328,998",0,0,0,-,-,"346,706",706,231,0,-
Yarrabee Coal Mine (Open Cut),YARRABEE COAL COMPANY PTY. LTD.,QLD,Coal mining (060),0.951,"136,622","183,931",0,0,0,"47,309",0,"136,622",0,0,0,-,-,"113,461","70,142",328,0,"Please refer to the excess emissions situation table for more information. As the facility surrendered 30% or more of its baseline, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Yarwun Nitrates,ORICA AUSTRALIA PTY LTD,QLD,Other basic chemical product manufacturing (189),0.951,"300,013","377,339",0,0,0,0,0,"377,339","77,326",0,0,"377,339","77,326","7,072",13,"370,254",0,Please refer to the Multi-year monitoring period reported emissions data table for more information.
YPF AMMONIA PLANT,Yara Pilbara Fertilisers Pty Ltd,WA,Fertiliser and pesticide manufacturing (183),0.990,"1,356,400","1,366,029",0,0,0,"9,629",0,"1,356,400",0,0,0,-,-,"1,365,061",743,225,0,-
